,package,version
180,azure-mgmt-trafficmanager,1.0.0b1
181,azure-mgmt-web,7.0.0
182,azure-nspkg,3.0.2
183,azure-servicebus,7.8.0
184,azure-storage-blob,12.13.0b1
185,azure-storage-common,2.1.0
186,azure-storage-file,12.0.0b4
187,azure-storage-file-datalake,12.8.0b1
188,azure-storage-file-share,12.9.0b1
189,azure-storage-queue,12.4.0b1
190,azureml-core,1.43.0
191,azureml-dataprep,4.2.2
192,babel,2.10.3
193,backcall,0.2.0
194,backoff,2.1.2
195,backports-csv,1.0.7
196,backports-functools-lru-cache,1.6.4
197,backports-tempfile,1.0rc1
198,backports-weakref,1.0.post1
199,backports-zoneinfo,0.2.1
200,backports.functools-lru-cache,1.6.4
201,bandit,1.7.4
202,base58,2.1.1
203,bcrypt,3.2.2
204,beautifulsoup4,4.11.1
205,behave,1.2.6
206,bibtexparser,1.3.0
207,bidict,0.22.0
208,billiard,4.0.1
209,binaryornot,0.4.4
210,biopython,1.79
211,bitarray,2.6.0
212,bitstring,3.1.9
213,black,22.6.0
214,bleach,5.0.1
215,blessed,1.19.1
216,blessings,1.7
217,blinker,1.5
218,blis,0.9.1.dev0
219,bokeh,3.0.0.dev10
220,boltons,21.0.0
221,bookstore,2.5.1
222,boto,2.49.0
223,boto3,1.24.42
224,boto3-stubs,1.24.42
225,boto3-type-annotations,0.3.1
226,boto3-type-annotations-with-docs,0.3.1
227,botocore,1.27.42
228,botocore-stubs,1.27.43
229,bottle,0.12.21
230,bottleneck,1.3.5rc2
231,boxsdk,3.4.0
232,brotli,1.0.9
233,bs4,0.0.1
234,bson,0.5.10
235,build,0.8.0
236,bump2version,1.0.1
237,bumpversion,0.6.0
238,cachecontrol,0.12.11
239,cached-property,1.5.2
240,cachelib,0.9.0
241,cachetools,5.2.0
242,cachy,0.3.0
243,cairosvg,2.5.2
244,cartopy,0.20.3
245,catalogue,2.1.0
246,catalyst,22.4
247,catboost,1.0.6
248,category-encoders,2.5.0
249,cattrs,22.1.0
250,cchardet,2.1.7
251,ccxt,1.91.52
252,celery,5.3.0a1
253,cerberus,1.3.4
254,certbot,1.29.0
255,certifi,2022.6.15
256,certipy,0.1.3
257,cffi,1.15.1
258,cfgv,3.3.1
259,cfn-lint,0.61.4
260,channels,3.0.5
261,chardet,5.0.0
262,charset-normalizer,2.1.0
263,check-manifest,0.48
264,cheroot,8.6.0
265,cherrypy,18.8.0
266,ciso8601,2.2.0
267,clang,14.0
268,cleo,1.0.0a5
269,click,8.1.3
270,click-completion,0.5.2
271,click-default-group,1.2.2
272,click-didyoumean,0.3.0
273,click-help-colors,0.9.1
274,click-log,0.4.0
275,click-plugins,1.1.1
276,click-repl,0.2.0
277,clickclick,20.10.2
278,cliff,3.10.1
279,cligj,0.7.2
280,clikit,0.6.2
281,clint,0.5.1
282,cloudpickle,2.1.0
283,cloudscraper,1.2.60
284,cmaes,0.8.2
285,cmake,3.23.3
286,cmd2,2.4.2
287,cmdstanpy,1.0.4
288,codecov,2.1.12
289,collections-extended,2.0.2
290,colorama,0.4.5rc1
291,colored,1.4.3
292,coloredlogs,15.0.1
293,colorlog,6.6.0
294,colornamer,0.2.4
295,colour,0.1.5
296,colour-science,0.4.1
297,commonmark,0.9.1
298,comtypes,1.1.11
299,configargparse,1.5.3
300,configobj,5.0.6
301,configparser,5.2.0
302,confluent-kafka,1.9.0
303,connexion,2.14.0
304,constantly,15.1.0
305,construct,2.10.68
306,constructs,10.1.64
307,contextlib2,21.6.0
308,contextvars,2.4
309,convertdate,2.4.0
310,cookiecutter,2.1.1
311,coreapi,2.3.3
312,coreschema,0.0.4
313,coverage,6.4.2
314,coveralls,3.3.1
315,crashtest,0.3.1
316,crayons,0.4.0
317,crcmod,1.7
318,croniter,1.3.5
319,cryptography,37.0.4
320,cssselect,1.1.0
321,curlify,2.2.1
322,cvxopt,1.3.0
323,cvxpy,1.2.1
324,cx-oracle,8.3.0
325,cycler,0.11.0
326,cymem,2.0.6
327,cython,3.0.0a11
328,cytoolz,0.12.0
329,dacite,1.6.0
330,dash,2.6.0
331,dash-bootstrap-components,1.2.1rc1
332,dash-html-components,2.0.0rc1
333,dask,2022.7.1
334,databricks-api,0.8.0
335,databricks-cli,0.17.0
336,dataclasses,0.8
337,dataclasses-json,0.5.7
338,datadog,0.44.0
339,datasets,2.4.0
340,datasette,0.62a1
341,dateparser,1.1.1
342,datetime,4.5
343,dateutils,0.6.12
344,db-dtypes,1.0.2
345,dbt-core,1.3.0b1
346,dbt-extractor,0.4.1
347,dbt-postgres,1.3.0b1
348,dbt-redshift,1.3.0b1
349,dbt-snowflake,1.3.0b1
350,dbus-python,1.2.18
351,ddtrace,1.3.0rc2
352,debugpy,1.6.2
353,decorator,5.1.1
354,deepdiff,5.8.1
355,deepmerge,1.0.4a0
356,defusedxml,0.7.1
357,delta-spark,2.0.0rc1
358,deprecated,1.2.13
359,deprecation,2.1.0
360,descartes,1.1.0
361,dictdiffer,0.9.0
362,dicttoxml,1.7.4
363,dill,0.3.5.1
364,discord,1.7.3
365,discord.py,1.7.3
366,diskcache,5.4.0
367,distlib,0.3.5
368,distribute,0.7.3
369,distributed,2022.7.1
370,distro,1.7.0
371,dj-database-url,1.0.0
372,django,4.1a1
373,django-allauth,0.51.0
374,django-appconf,1.0.5
375,django-cms,3.10.1rc1
376,django-cors-headers,3.13.0
377,django-crispy-forms,1.14.0
378,django-debug-toolbar,3.5.0
379,django-environ,0.9.0
380,django-extensions,3.2.0
381,django-filter,22.1
382,django-model-utils,4.2.0
383,django-mptt,0.13.4
384,django-redis,5.2.0
385,djangorestframework,3.13.1
386,dnspython,2.2.1
387,doc8,1.0.0
388,docker,6.0.0b1
389,docker-compose,1.29.2
390,docker-py,1.10.6a1
391,docker-pycreds,0.4.0
392,docopt,0.6.2
393,docstring-parser,0.14.1
394,docutils,0.19b1
395,dotnetcore2,3.1.23
396,dulwich,0.20.45
397,dynaconf,3.1.9
398,easydict,1.9
399,ecdsa,0.18.0b2
400,einops,0.4.1
401,elastic-transport,8.1.2
402,elasticsearch,8.3.3
403,elasticsearch-dsl,7.4.0
404,eli5,0.13.0
405,email-validator,1.2.1
406,emcee,3.1.2
407,emoji,2.0.0
408,entrypoints,0.4
409,enum34,1.1.10
410,environs,9.5.0
411,ephem,4.1.3
412,escapism,1.0.1
413,et-xmlfile,1.1.0
414,eth-utils,2.0.0a0
415,eventlet,0.33.1
416,execnet,1.9.0
417,executing,0.9.1
418,facebook-business,14.0.0
419,factory-boy,3.2.1
420,fake-useragent,0.1.11
421,Faker,13.15.1
422,falcon,3.1.0rc3
423,fastai,2.7.7
424,fastapi,0.79.0
425,fastavro,1.5.4
426,fastcore,1.5.11
427,fasteners,0.17.3
428,fastjsonschema,2.16.1
429,fastparquet,0.8.1
430,fasttext-wheel,0.9.2
431,feedparser,6.0.10
432,ffmpeg-python,0.2.0
433,filelock,3.7.1
434,filetype,1.1.0
435,findspark,2.0.1
436,fiona,1.9a2
437,fire,0.4.0
438,firebase-admin,5.2.0
439,flake8,5.0.2
440,flake8-alfred,1.1.1
441,flake8-black,0.3.3
442,flake8-bugbear,22.7.1
443,flake8-comprehensions,3.10.0
444,flake8-debugger,4.1.2
445,flake8-docstrings,1.6.0
446,flake8-import-order,0.18.1
447,flake8-import-restrictions,1.1.1
448,flake8-isort,4.1.2.post0
449,flake8-print,5.0.0
450,flake8-quotes,3.3.1
451,flaky,3.7.0
452,flask,2.1.3
453,flask-appbuilder,4.1.3rc1
454,flask-babel,2.0.0
455,flask-caching,2.0.1
456,flask-cors,3.0.10
457,flask-jwt-extended,4.4.3
458,flask-login,0.6.2
459,Flask-Mail,0.9.1
460,Flask-Migrate,3.1.0
461,flask-oidc,1.4.0
462,flask-restplus,0.13.0
463,flask-session,0.4.0
464,flask-socketio,5.2.0
465,flask-sqlalchemy,2.5.1
466,flask-wtf,1.0.1
467,flatbuffers,2.0
468,flit,3.7.1
469,folium,0.12.1.post1
470,fonttools,4.34.4
471,freezegun,1.2.1
472,frozendict,2.3.4
473,frozenlist,1.3.0a0
474,fs,2.4.16
475,fsspec,2022.7.1
476,ftfy,6.1.1
477,funcsigs,1.0.2
478,functools32,3.2.3
479,funcy,1.17
480,furl,2.1.3
481,furo,2022.6.21
482,future,0.18.2
483,futures,3.3.0
484,fuzzywuzzy,0.18.0
485,gast,0.5.3
486,gcsfs,2022.7.1
487,gdal,3.5.1
488,gdown,4.5.1
489,gensim,4.2.0
490,geographiclib,2.0
491,geoip2,4.6.0
492,geojson,2.5.0
493,geopandas,0.11.1
494,geopy,2.2.0
495,gevent,21.12.0
496,gherkin-official,24.0.0
497,gitdb,4.0.9
498,github3.py,3.2.0
499,gitpython,3.1.27
500,glob2,0.7
501,google,3.0.0
502,google-api-core,2.8.2
503,google-api-python-client,2.55.0
504,google-apitools,0.5.32
505,google-auth,2.9.1
506,google-auth-httplib2,0.1.0
507,google-auth-oauthlib,0.5.2
508,google-cloud,0.34.0
509,google-cloud-aiplatform,1.16.0
510,google-cloud-appengine-logging,1.1.3
511,google-cloud-audit-log,0.2.3
512,google-cloud-bigquery,3.3.0
513,google-cloud-bigquery-storage,2.14.1
514,google-cloud-bigtable,2.10.1
515,google-cloud-core,2.3.2
516,google-cloud-datastore,2.8.0
517,google-cloud-dlp,3.8.0
518,google-cloud-firestore,2.6.0
519,google-cloud-language,2.5.1
520,google-cloud-logging,3.2.1
521,google-cloud-monitoring,2.10.1
522,google-cloud-pubsub,2.13.4
523,google-cloud-pubsublite,1.4.2
524,google-cloud-secret-manager,2.12.1
525,google-cloud-spanner,3.17.0
526,google-cloud-storage,2.4.0
527,google-cloud-videointelligence,2.8.0
528,google-cloud-vision,3.0.0
529,google-crc32c,1.3.0
530,google-pasta,0.2.0
531,google-resumable-media,2.3.3
532,googleapis-common-protos,1.56.4
533,googletrans,4.0.0rc1
534,gql,3.4.0
535,graphene,3.1
536,graphframes,0.6
537,graphql-core,3.2.1
538,graphviz,0.20.1
539,great-expectations,0.15.16
540,greenlet,2.0.0a2
541,gremlinpython,3.6.1
542,grpc-google-iam-v1,0.12.4b1
543,grpcio,1.48.0rc1
544,grpcio-status,1.48.0rc1
545,grpcio-tools,1.48.0rc1
546,gspread,5.4.0
547,gspread-dataframe,3.3.0
548,gtts,2.2.4
549,gunicorn,20.1.0
550,gym,0.25.1
551,h11,0.13.0
552,h2,4.1.0
553,h5py,3.7.0
554,halo,0.0.31
555,hdfs,2.7.0
556,heapdict,1.0.1
557,hijri-converter,2.2.4
558,hiredis,2.0.0.dev0
559,holidays,0.14.2
560,hologram,0.0.15
561,holoviews,1.15.0a5
562,hpack,4.0.0
563,html2text,2020.1.16
564,html5lib,1.1
565,httpcore,0.15.0
566,httplib2,0.20.4
567,httpretty,1.1.4
568,httptools,0.4.0
569,httpx,1.0.0b0
570,huaweicloudsdkcore,3.0.100
571,huggingface-hub,0.8.1
572,humanfriendly,10.0
573,humanize,4.2.3
574,humiolib,0.2.3
575,hvac,0.11.2
576,hydra-core,1.2.0.dev5
577,hydra-slayer,0.4.0
578,hyperframe,6.0.1
579,hyperlink,21.0.0
580,hyperopt,0.2.7
581,hypothesis,6.53.0
